,age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income,label
226,46,4,312088,9,13,2,10,0,4,1,15024,0,38,39,1,0
227,53,2,169719,11,9,2,4,0,4,1,0,0,40,39,0,3
228,25,0,270276,6,5,5,0,1,4,0,1055,0,40,39,0,0
229,77,0,172744,15,10,2,0,0,4,1,0,0,35,39,0,3
230,18,4,96869,2,8,4,9,3,4,1,0,0,40,39,0,1
231,38,4,237943,14,15,2,10,0,4,1,0,0,50,39,0,3
232,55,4,119751,12,14,4,4,4,1,0,0,0,50,37,0,1
233,34,4,236861,11,9,2,13,0,4,1,0,0,40,39,1,3
234,80,6,201092,11,9,2,8,0,4,1,0,0,30,39,0,3
235,34,4,147215,8,11,0,13,4,4,0,0,0,60,39,0,3
236,52,4,152373,15,10,2,13,0,4,1,5013,0,40,39,0,3
237,42,4,227968,11,9,4,8,4,2,0,0,0,28,14,0,3
238,26,4,362617,15,10,4,12,1,4,0,0,0,40,39,0,0
239,31,4,103435,11,9,2,14,0,4,1,0,0,40,39,0,1
240,25,2,281412,11,9,4,8,3,4,0,0,0,35,39,0,0
241,55,6,105239,11,9,2,3,0,4,1,0,2057,60,39,0,1
242,19,4,230165,15,10,4,8,3,4,0,0,0,12,39,0,3
243,62,6,177493,15,10,2,14,0,4,1,0,0,32,39,0,3
244,22,1,104443,15,10,4,1,3,4,0,0,0,20,39,0,1
245,39,0,110342,11,9,2,0,5,4,0,0,0,50,39,0,1
246,35,4,143385,11,9,2,6,0,4,1,0,0,40,39,0,3
247,28,4,107189,11,9,2,12,3,4,0,0,0,40,39,0,1
248,47,4,212944,11,9,2,14,0,4,1,0,0,70,39,1,3
249,44,7,138634,11,9,2,7,0,4,1,0,0,40,39,0,3
250,21,4,99970,15,10,4,12,3,4,1,0,0,15,39,0,1
251,35,4,203717,8,11,4,3,1,4,1,0,0,50,39,0,3
252,24,4,313956,9,13,2,10,0,4,1,0,0,40,39,1,0
253,42,1,177937,9,13,4,10,1,4,1,0,0,40,0,0,3
254,28,4,193868,9,13,4,13,3,4,1,0,0,50,39,0,3
255,21,4,250939,15,10,4,7,2,4,1,0,0,35,39,0,0
256,62,1,57629,15,10,0,13,1,2,1,4650,0,40,39,0,1
257,39,4,281768,11,9,4,8,1,2,0,0,0,40,39,0,0
258,30,7,260782,11,9,4,8,1,4,1,0,0,40,39,0,0
259,72,6,243769,14,15,4,10,1,4,1,0,1429,20,39,0,3
260,50,4,109937,15,10,2,4,5,4,0,0,0,50,39,0,1
261,28,2,134890,12,14,4,10,1,4,1,0,0,40,39,0,1
262,29,4,100293,15,10,4,10,1,4,0,0,0,40,39,0,1
263,26,4,132179,9,13,4,1,3,4,0,0,0,40,39,0,1
264,27,4,116372,12,14,4,4,1,4,0,0,0,40,39,0,1
265,29,4,255412,15,10,2,6,0,4,1,3103,0,40,39,1,0
266,61,0,195789,11,9,2,0,0,4,1,0,0,40,39,0,3
267,29,4,342400,0,6,2,3,0,4,1,0,0,25,39,0,0
268,21,0,65481,15,10,4,0,3,4,0,0,0,30,39,0,1
269,31,4,169085,1,7,2,12,5,4,0,0,0,20,39,0,3
270,25,4,177221,11,9,2,4,0,4,1,0,0,75,39,0,3
271,58,4,65325,0,6,2,14,0,4,1,0,0,40,39,1,1
272,64,4,118944,15,10,2,4,5,4,0,0,0,40,39,1,1
273,46,7,149337,12,14,4,4,1,4,1,0,0,38,39,0,3
274,53,0,237868,11,9,2,0,0,4,1,0,0,35,39,1,3
275,19,4,106183,11,9,4,8,3,0,0,0,0,35,39,0,1
276,42,4,226388,11,9,0,8,1,2,1,0,0,52,39,0,3
277,18,4,220754,1,7,4,6,3,4,1,0,0,24,39,0,3
278,58,5,204021,9,13,2,3,0,4,1,15024,0,50,39,1,3
279,20,4,347391,15,10,4,11,1,2,1,0,0,60,39,0,0
280,35,1,413930,11,9,2,3,0,4,1,0,0,40,39,1,2
281,32,4,174201,11,9,2,6,0,4,1,0,0,38,39,1,3
282,23,4,145917,11,9,4,6,1,4,0,0,0,25,39,0,3
283,31,4,241797,15,10,0,13,4,4,0,0,0,40,39,0,3
284,33,4,265168,9,13,2,12,0,2,1,0,0,55,39,0,0
285,41,4,171234,15,10,4,7,1,4,0,0,0,48,39,0,3
286,22,4,178452,11,9,4,7,3,2,1,0,0,40,39,0,3
287,46,4,157857,15,10,2,11,0,4,1,0,0,40,39,1,3
288,61,1,512864,15,10,2,14,0,2,1,0,0,40,39,0,2
289,30,4,296462,11,9,4,4,1,2,1,0,0,40,39,0,0
290,42,4,171615,11,9,2,4,0,4,1,0,0,55,39,1,3
291,63,4,214071,0,6,2,6,0,4,1,0,0,40,39,0,3
292,26,4,172421,15,10,2,12,0,4,1,0,0,40,39,0,3
293,42,4,195488,0,6,0,1,4,4,0,0,0,40,39,0,3
294,23,4,316841,15,10,2,8,0,4,1,0,0,40,39,0,0
295,25,4,236267,11,9,4,7,4,4,1,0,1590,40,39,0,3
296,30,4,236543,6,5,2,8,0,4,1,0,0,32,8,1,3
297,23,4,318483,11,9,4,12,3,4,1,0,0,40,39,0,0
298,34,6,163756,8,11,4,5,1,4,1,27828,0,60,39,1,3
299,30,4,238186,11,9,2,7,2,4,1,0,2057,48,39,0,3
300,39,4,329980,15,10,2,3,0,4,1,0,0,40,39,1,0
301,30,4,169269,1,7,4,6,2,4,1,0,1721,38,33,0,3
302,38,2,34744,15,10,0,1,4,4,0,0,0,38,39,0,1
303,26,4,98114,11,9,0,4,3,4,0,0,0,40,39,0,1
304,20,4,109667,15,10,4,6,3,4,1,0,0,16,39,0,1
305,37,2,263690,9,13,4,10,4,2,1,0,0,40,0,0,0
306,33,4,147430,11,9,2,1,3,4,0,0,0,40,39,0,3
307,24,4,224238,9,13,4,1,3,4,1,0,0,40,39,0,3
308,42,5,212894,9,13,2,4,0,4,1,0,0,60,39,1,3
309,51,6,136708,11,9,2,12,0,1,1,3103,0,84,40,0,1
310,56,2,38573,7,12,2,13,0,4,1,0,0,45,39,1,1
311,22,4,197200,15,10,4,6,3,4,1,0,0,40,39,0,3
312,52,6,182796,15,10,2,5,0,4,1,0,0,60,39,0,3
313,44,4,184527,9,13,0,4,4,4,0,4934,0,45,39,1,3
314,34,4,145231,11,9,2,1,5,4,0,4064,0,35,39,0,3
315,51,4,43354,15,10,0,3,1,4,1,0,0,42,39,1,1
316,20,0,318865,15,10,4,0,1,4,1,0,0,40,39,0,0
317,19,4,355712,15,10,4,12,1,4,0,0,0,25,39,0,0
318,37,4,98776,9,13,2,4,0,4,1,0,0,40,39,1,1
319,68,4,257557,11,9,2,7,0,2,1,0,0,40,39,1,0
320,22,4,102258,15,10,0,11,1,4,1,0,0,40,39,0,1
321,56,5,170287,9,13,2,4,0,4,1,0,0,40,39,0,3
322,37,4,243409,11,9,2,3,0,4,1,0,0,40,39,0,3
323,52,4,55608,3,2,2,7,0,4,1,0,0,40,26,0,1
324,26,4,248057,11,9,5,6,3,4,1,0,0,40,33,0,0
325,33,4,95530,12,14,2,10,0,4,1,0,0,50,39,0,1
326,45,2,54038,12,14,0,10,4,4,0,0,0,42,39,0,1
327,18,4,161245,1,7,4,8,3,4,1,0,0,15,39,0,3
328,43,6,388725,15,10,2,5,0,4,1,0,0,60,39,1,0
329,64,6,71807,10,16,2,10,0,4,1,15024,0,50,0,1,1
330,18,4,228216,11,9,4,6,3,4,1,0,0,20,39,0,3
331,20,0,303121,15,10,4,0,3,4,1,0,0,45,39,0,0
332,57,4,78020,11,9,2,3,0,4,1,0,0,40,39,1,1
333,41,4,249254,11,9,0,1,4,4,0,3674,0,42,39,0,0
334,34,4,87218,12,14,2,4,0,4,1,0,1887,50,39,1,1
335,19,4,304299,11,9,4,12,4,4,0,0,0,40,39,0,0
336,44,4,196234,6,5,0,8,4,4,0,0,0,55,6,0,3
337,56,4,197875,0,6,6,8,4,4,0,0,0,40,39,0,3
338,36,5,48063,11,9,2,5,0,4,1,0,0,80,39,0,1
339,48,4,253596,9,13,0,4,4,4,0,0,0,48,39,0,0
340,29,4,39257,11,9,2,14,0,4,1,0,0,40,39,1,1
341,33,4,56150,9,13,4,3,1,4,1,2174,0,40,39,0,1
342,31,4,179415,4,3,2,8,0,4,1,0,0,40,26,0,3
343,39,4,252445,12,14,2,10,0,4,1,0,0,45,39,1,0
344,66,4,275918,11,9,2,4,0,4,1,10605,0,40,39,1,0
345,27,4,106562,9,13,4,10,1,4,0,0,0,50,39,1,1
346,39,4,198654,11,9,0,4,4,2,0,99999,0,40,39,1,3
347,59,4,107318,5,4,2,3,0,4,1,5178,0,50,39,1,1
348,26,4,181896,11,9,4,8,3,4,0,0,0,40,39,0,3
349,31,4,106014,8,11,0,3,4,4,1,0,0,40,39,0,1
350,45,0,319993,11,9,6,0,4,4,0,0,0,40,26,0,0
351,23,4,197997,11,9,4,6,3,4,1,0,0,30,39,0,3
352,36,2,173542,11,9,0,1,4,4,0,0,0,40,39,0,3
353,34,4,207564,15,10,2,8,5,4,0,0,0,12,39,1,3
354,32,4,224462,11,9,2,14,0,4,1,0,0,84,39,1,3
355,37,4,123361,9,13,2,10,0,2,1,0,0,50,39,1,1
356,33,4,90409,9,13,4,12,1,4,1,0,0,45,39,0,1
357,50,6,165001,14,15,2,10,0,4,1,99999,0,80,39,1,3
358,32,1,149573,7,12,4,11,1,2,1,0,0,40,39,0,3
359,35,4,249456,9,13,4,1,3,2,0,0,0,40,39,0,0
360,37,4,149898,1,7,2,3,0,4,1,0,0,40,39,0,3
361,44,4,292985,15,10,0,3,1,4,1,0,0,60,39,0,0
362,57,4,50223,15,10,0,6,2,4,1,0,0,25,39,0,1
363,29,2,400074,15,10,2,4,3,4,0,0,0,40,39,0,2
364,55,4,197399,11,9,2,3,0,4,1,0,0,50,39,1,3
365,43,5,209547,14,15,2,10,0,4,1,0,0,25,39,1,3
366,43,4,52433,15,10,2,12,0,4,1,0,0,70,39,0,1
367,45,6,355978,15,10,2,12,0,4,1,0,0,60,39,1,0
368,33,6,48214,12,14,2,10,5,4,0,0,0,8,39,0,1
369,26,4,190873,0,6,0,8,4,4,0,0,0,40,11,0,3
370,23,4,278390,15,10,2,12,0,4,1,0,0,68,39,0,0
371,41,4,203217,5,4,5,3,1,4,1,0,0,40,26,0,3
372,24,4,279175,11,9,2,3,0,4,1,0,0,40,39,0,0
373,47,6,194590,9,13,2,12,0,4,1,0,0,44,39,0,3
374,34,6,198813,11,9,4,3,3,4,1,0,0,45,39,0,3
375,40,4,187294,11,9,2,4,0,4,1,0,0,40,39,1,3
376,28,4,302903,9,13,2,10,5,1,0,0,1485,40,39,0,0
377,24,4,154835,11,9,4,4,3,1,0,0,0,40,35,0,3
378,73,0,73402,15,10,2,0,0,4,1,0,0,10,39,0,1
379,23,4,100345,11,9,4,3,2,4,1,0,0,15,39,0,1
380,43,6,126320,11,9,2,4,0,2,1,0,0,40,39,1,1
381,26,4,142226,9,13,0,13,1,4,0,0,0,40,39,0,3
382,58,6,112076,10,16,1,4,5,4,0,0,1485,35,39,1,1
383,52,4,225339,11,9,6,1,4,2,0,0,0,35,39,0,3
384,29,4,211208,1,7,2,14,0,4,1,0,0,99,39,1,3
385,47,4,200808,1,7,2,8,0,4,1,0,0,35,4,0,3
386,49,4,220618,11,9,0,1,4,2,0,0,0,37,39,0,3
387,40,4,210493,1,7,6,1,4,4,0,0,0,40,39,0,3
388,62,6,369734,11,9,2,1,5,4,0,0,0,40,39,0,0
389,49,4,27898,11,9,2,4,0,4,1,0,1977,55,39,1,1
390,50,4,138193,9,13,0,10,2,4,0,0,0,50,39,1,3
391,31,4,224234,11,9,4,14,3,2,1,0,0,40,39,0,3
392,48,2,188741,12,14,4,10,1,4,0,0,0,50,39,0,3
393,24,4,183772,11,9,4,3,4,4,0,0,0,40,39,0,3
